an,judet,emig_masc_nr,emig_fem_nr,emigranti_total_nr,emig_15_64_nr,imig_masc_nr,imig_fem_nr,imigranti_total_nr,imigranti_15_64_nr,populatie_15_64,populatie_rurala,populatie_totala,pondere_rurala,rata_emig_def,rata_imig_def,rata_emig_15_64,rata_imig_15_64,intensitate_migratie,sup_grau_ha,sup_orz_orzoaica_ha,sup_porumb_boabe_ha,sup_floarea_soarelui_ha,sup_rapita_ha,sup_soia_boabe_ha,sup_totala_cultivata_ha,pondere_grau,pondere_orz_orzoaica,pondere_porumb_boabe,pondere_floarea_soarelui,pondere_rapita,pondere_soia_boabe,prod_grau_tone,prod_orz_orzoaica_tone,prod_porumb_boabe_tone,prod_floarea_soarelui_tone,prod_rapita_tone,prod_soia_boabe_tone,yield_grau,yield_orz_orzoaica,yield_porumb_boabe,yield_floarea_soarelui,yield_rapita,yield_soia_boabe,ocupati_total_nr,ocupati_agri_nr,pondere_ocupati_agri,tractoare_nr,pluguri_nr,semanatori_mecanice_nr,masini_stropit_prafuit_mecanice_nr,combine_cereale_nr,tractoare_1000ha,pluguri_1000ha,semanatori_1000ha,masini_stropit_1000ha,combine_1000ha,z_tractoare_1000ha,z_pluguri_1000ha,z_semanatori_1000ha,z_combine_1000ha,indice_mecanizare_vechi,temperatura_medie_anuala_C,schimbare_temp_anuala_C,precipitatii_anuale_mm,schimbare_precipitatii_anuala_mm,schimbare_precipitatii_anuala_pct,log_suprafata,log_tractoare,rezid_tractoare,z_rezid_tractoare,log_pluguri,rezid_pluguri,z_rezid_pluguri,log_semanatori,rezid_semanatori,z_rezid_semanatori,log_combine,rezid_combine,z_rezid_combine,indice_mecanizare_rezidual,schimbare_pondere_ocupati_agri
2022,Alba,268,305,573,497,103,112,215,187,208876,136528,325873,41.89607608,1.758353714,0.659766228,2.379402133,0.895268006,2.418119942,13063,2315,43823,7636,2434,960,70231,18.60004841,3.296265182,62.39837109,10.87269155,3.465706027,1.366917743,58894,8668,167494,18118,7379,1412,4.508459006,3.744276458,3.822056911,2.372708224,3.031635168,1.470833333,151900,17400,11.45490454,4195,3480,1658,180,627,59.73145762,49.55076818,23.60780852,2.562970768,8.927681508,-0.103917871,0.023919007,0.660367991,0.699841943,0.320052768,9.067242965,0.713374166,762.1736532,-204.6872154,-21.17028645,11.159545087980925,8.341886969516187,-0.2242374830746332,-0.5140938971817521,8.15507488781144,0.016320506635208787,0.038050961141476033,7.413970290190444,0.31663333263334525,0.8776909278747356,6.4425401664681985,0.3466052978395604,0.8257714139766865,0.3068548514527865,-0.35017439000000117
2012,Arad,214,247,461,328,74,52,126,107,294460,191746,430196,44.57177659,1.071604571,0.292889753,1.113903416,0.363377029,1.364494324,58153,4832,120113,35818,1014,2428,222358,26.1528706,2.173072253,54.0178451,16.10825785,0.456021371,1.091932829,218149,16442,397383,57913,1780,3250,3.751294,3.402731788,3.308409581,1.616868614,1.755424063,1.338550247,206200,47500,23.03588749,7204,5426,2779,83,1302,32.3982047,24.40209032,12.49786381,0.373271931,5.855422337,-0.439378259,-0.473550912,-0.381034799,-0.01415494,-0.327029728,11.57309341,0.624622345,714.912133,163.8625625,29.73644683,12.312043974603498,8.882530508433623,0.5368562163062567,1.2308134246017168,8.599141774063405,0.4360660708128332,1.0166800263307412,7.930206206684683,0.29805745226043356,0.826199565468267,7.172424577124845,0.5972041340934169,1.422811784231063,1.124126200157947,
2013,Arad,166,207,373,291,56,50,106,87,292942,191473,428901,44.64270309,0.869664561,0.24714328,0.993370701,0.296987117,1.116807841,62602,11257,115148,37905,9957,1076,237945,26.30944126,4.730925214,48.39269579,15.93015193,4.18458047,0.452205342,279840,39047,465215,76784,26750,2033,4.470144724,3.468686151,4.040148331,2.025695818,2.686552174,1.889405204,210400,45400,21.57794677,7325,5136,2833,106,1259,30.78442497,21.58482002,11.90611276,0.445481099,5.291138709,-0.459184141,-0.529279775,-0.436503229,-0.145295163,-0.392565577,11.66089249,0.087799072,889.6271763,174.7150433,24.43867368,12.379794833510665,8.89918494333876,0.5113018288833651,1.1722266333115423,8.544224530467268,0.34108974777084455,0.7952444754493443,7.949444420250626,0.27926279957966216,0.7741017777423863,7.138866999945524,0.5036446978749138,1.1999106675471016,0.9853708885125937,-1.4579407199999999
2014,Arad,112,174,286,246,65,59,124,113,290809,191068,427351,44.70985209,0.669239103,0.290159611,0.845916048,0.388571193,0.959398714,75440,12341,120592,38589,14685,2580,264227,28.55120786,4.670605199,45.63954479,14.60448781,5.557721202,0.976433143,318475,44563,636061,109290,43936,5895,4.221566808,3.610971558,5.274487528,2.832154241,2.991896493,2.284883721,212100,44700,21.07496464,7388,5242,2878,106,1307,27.96080643,19.83900207,10.89214955,0.401170206,4.946504332,-0.493838347,-0.563814072,-0.531548177,-0.225388624,-0.453647305,12.22908401,0.568191528,843.0182651,-46.60891125,-5.239151016,12.484563861155364,8.907747686788648,0.5039127666679448,1.155286237179912,8.564649132572534,0.3254962318539736,0.7588884798007908,7.965198290612176,0.22587120798854876,0.6261030968246725,7.176254532017144,0.52752267152463,1.2567988576195779,0.9492691678562383,-0.5029821299999995
2015,Arad,150,228,378,325,61,83,144,119,288109,190417,425393,44.76260775,0.88859008,0.338510507,1.128045288,0.413038121,1.227100587,75171,11395,125671,35801,12795,3282,264115,28.46146565,4.314408496,47.58192454,13.55508017,4.844480624,1.242640516,323487,38052,451140,77493,36918,6622,4.303348366,3.339359368,3.589849687,2.164548476,2.885345838,2.017672151,210800,39300,18.64326376,7458,5284,2902,106,2075,28.23769949,20.00643659,10.98763796,0.401340325,7.856426178,-0.490440045,-0.560502024,-0.522597467,0.450880861,-0.280664669,12.09203911,-0.137044907,699.0032461,-144.015019,-17.08326201,12.484139893340283,8.917176635955164,0.4854038493730144,1.1128521120091477,8.572627898304338,0.321044721846901,0.748509866067404,7.97349996402463,0.21988279617619977,0.60950353456013,7.638198244285779,0.9331426798920308,2.223170144886597,1.1735089143808197,-2.431700880000001
2016,Arad,227,334,561,481,95,106,201,167,285065,189952,423111,44.89412944,1.325893205,0.475052646,1.687334468,0.585831302,1.800945851,82680,13390,120283,43924,25241,4007,289525,28.55711942,4.62481651,41.54494431,15.17105604,8.718072705,1.38399102,407658,49228,649972,122673,77982,9543,4.930551524,3.676474981,5.403689632,2.792846735,3.089497247,2.381582231,211300,34300,16.2328443,7475,5300,2910,107,2094,25.81815042,18.30584578,10.05094551,0.369570849,7.23253605,-0.520135115,-0.594141676,-0.610399356,0.305888013,-0.354697033,11.2958374,-0.796201706,982.5069079,283.5036619,40.55827544,12.575996928052579,8.919453168575453,0.4476812745801144,1.0263681521416586,8.575650760987806,0.27345572171966737,0.6375569872703369,7.976251943745623,0.14345571576037663,0.3976516913980596,7.647308832356238,0.915414933023416,2.180934591392279,1.0606278555505835,-2.41041946
2017,Arad,241,311,552,463,106,107,213,178,281871,189031,420638,44.93911629,1.31229228,0.506373651,1.642595372,0.631494549,1.818665931,64058,12509,112660,39395,24705,5540,258867,24.74552569,4.832211135,43.52041782,15.21823948,9.54351076,2.140095107,340468,49477,679415,119415,71253,9326,5.314995785,3.955312175,6.030667495,3.031222236,2.884153005,1.683393502,210200,34700,16.50808754,7510,5311,2915,107,2104,29.01103656,20.51632692,11.26060873,0.413339669,8.127725821,-0.480948897,-0.550415804,-0.497010254,0.513931239,-0.253610929,11.43174934,0.135911942,662.2697565,-320.2371514,-32.59388293,12.464069695274942,8.924123891686012,0.43337082270340765,0.9935595606659865,8.57772369115627,0.272215368977875,0.6346651276587091,7.977968093128549,0.1844299296279992,0.5112300550192289,7.652070746116482,0.9658079807868516,2.3009937438795243,1.1101121218058623,0.2752432399999982
2018,Arad,263,327,590,480,98,100,198,154,278819,187593,418298,44.84673606,1.410477698,0.473346753,1.721546953,0.552329648,1.883824451,72691,11771,112360,41259,27057,5080,270218,26.90087263,4.356112472,41.58124181,15.26878298,10.01302652,1.879963585,390963,51023,841249,126980,90453,12873,5.378423739,4.33463597,7.487086152,3.077631547,3.343053554,2.534055118,211300,35000,16.56412683,7551,5319,2918,107,2106,27.94410439,19.68410691,10.79868847,0.395976582,7.793707303,-0.494043331,-0.566878078,-0.540308853,0.436304916,-0.291231336,12.27798462,0.846235275,789.9546383,127.6848818,19.27989018,12.506984319609904,8.929567707825337,0.426985322173314,0.9789199615768386,8.57922858233569,0.26916058609326754,0.6275429575302964,7.978996370854115,0.18928779241182614,0.5246957948981147,7.653020413804189,0.9524075593495009,2.2690678471111294,1.1000566402790948,0.056039290000001074
2019,Arad,228,330,558,470,101,121,222,174,275909,186618,416693,44.78548956,1.339115368,0.532766329,1.703460199,0.630642712,1.871881697,132341,11780,198249,85750,24943,9099,462162,28.63519718,2.548889783,42.89599751,18.55410008,5.397025286,1.968790164,686119,44491,1410102,299706,71162,22249,5.184477977,3.776825127,7.11278241,3.495113703,2.852984805,2.44521376,209300,35100,16.77018634,7581,5331,2921,107,2107,16.40333909,11.53491633,6.320294615,0.231520549,4.559007448,-0.63568288,-0.728078487,-0.960095988,-0.315443386,-0.659825185,12.44026375,0.162279129,737.7360055,-52.21863278,-6.610333082,13.043670757951409,8.93353229607628,0.39368552134962087,0.902575792234143,8.5814816812986,0.25124249055217796,0.5857672472289768,7.980023592310645,0.019640549360683046,0.05444256878760212,7.653494909661253,0.7306047659578008,1.740632743941341,0.8208545880480158,0.20605950999999934
2020,Arad,270,287,557,446,63,61,124,94,272505,186557,414570,45.00012061,1.343560798,0.299105097,1.636667217,0.344947799,1.642665895,70668,11657,111386,40521,34334,7184,275750,25.6275612,4.227379873,40.393835,14.69483228,12.45113327,2.605258386,263001,44786,613532,98346,89847,14852,3.721642044,3.841983358,5.50816081,2.427037832,2.6168521,2.067371938,205100,33700,16.43100926,7621,5182,2410,166,1008,27.63735267,18.79238441,8.739800544,0.60199456,3.655485041,-0.497808088,-0.584517379,-0.73330096,-0.525423126,-0.585262388,11.77550125,-0.664762497,818.9293917,81.19338621,11.00575078,12.52724993711575,8.938794081433805,0.3721969588821281,0.8533104389476419,8.553139318189707,0.3038231949189534,0.708358192680101,7.787796878181171,0.06421134142280494,0.1779904578104436,6.9167150203536085,0.23654967758168866,0.5635688864247511,0.5758069939657344,-0.3391770799999989
2021,Arad,362,426,788,644,131,141,272,196,267925,187514,411752,45.54051954,1.913773339,0.660591813,2.40365774,0.731548008,2.574365152,82391,8219,90592,24492,23212,5597,234503,35.13430532,3.504859213,38.63148872,10.44421607,9.898380831,2.38674985,416414,36393,471629,60197,69426,13510,5.054119989,4.427910938,5.206077799,2.457822963,2.990952955,2.413793103,187100,18100,9.673971138,7676,5174,2477,145,1054,32.73305672,22.06368362,10.56276466,0.618328977,4.494612009,-0.435268628,-0.5198073,-0.562423429,-0.330408966,-0.461977081,11.20501709,-0.570484161,813.9458009,-4.983590811,-0.608549511,12.365223659963611,8.945984124827898,0.3685895403114081,0.8450399578204071,8.55159461813357,0.3194636583017658,0.7448236454822932,7.815207062189088,0.20091684746792104,0.5569309232644318,6.961296045910167,0.34197750797997184,0.8147459143673056,0.7403851102336094,-6.757038121999999
2022,Arad,531,591,1122,911,140,175,315,242,264693,188633,410470,45.95536824,2.733451897,0.767412966,3.441723053,0.914266717,3.500864862,82267,9528,80201,22002,16184,2884,213066,38.61104071,4.471853792,37.64138811,10.32637774,7.595768447,1.353571194,362768,39707,227256,34574,41859,3964,4.409641776,4.167401343,2.833580629,1.5714026,2.586443401,1.374479889,192200,18300,9.521331946,7732,5206,2510,131,1095,36.28922493,24.43374353,11.7803873,0.614832963,5.139252626,-0.391623857,-0.472924775,-0.448288242,-0.180593679,-0.373357638,11.94516373,0.740146637,562.663353,-251.2824479,-30.87213518,12.269357255850059,8.953252164609035,0.35467041613571837,0.8131285365240135,8.557759153162898,0.31915909578566115,0.7441135635758622,7.828436359157585,0.2379121655957963,0.6594799973768439,6.999422467507961,0.4059914384137926,0.9672562025193644,0.795994574999021,-0.15263919200000053
2012,Arges,96,118,214,170,39,29,68,61,420743,328932,608961,54.01528177,0.351418235,0.111665607,0.404047126,0.144981616,0.463083843,66962,2754,65983,15737,1392,108,152936,43.78432808,1.800753256,43.14419103,10.2899252,0.910184652,0.070617775,209675,6001,148937,20186,2049,131,3.131253547,2.179012346,2.257202613,1.282709538,1.471982759,1.212962963,249400,71800,28.78909383,4687,3678,1401,175,506,30.64680651,24.04927551,9.16069467,1.144269498,3.308573521,-0.460873129,-0.480529997,-0.69384799,-0.606045798,-0.560324228,9.367703996,0.867151224,809.8582885,137.8483853,20.51285027,11.937774812208854,8.452761331256848,0.11803282373631419,0.27060575920656377,8.210396255104774,0.08099215744871202,0.1888317259218345,7.2456550675945355,-0.22017295340541576,-0.6103078351233114,6.2285110035911835,-0.1789355794459997,-0.42630590868307455,-0.14429406466949693,
2013,Arges,87,121,208,167,42,42,84,70,417314,327226,605523,54.04022638,0.343504706,0.138723054,0.400178283,0.1677394,0.48222776,46399,4040,54836,13641,4559,0,123475,37.5776473,3.271917392,44.41060944,11.04758048,3.692245394,0.0,145712,13006,247531,27486,9272,0,3.140412509,3.219306931,4.514023634,2.014954915,2.033779338,,246800,68000,27.55267423,4907,3749,1420,160,538,39.74083823,30.36242154,11.50030371,1.295808868,4.357157319,-0.349262286,-0.355648671,-0.474542183,-0.362353609,-0.385451687,9.250959288,-0.116744707,875.0642952,65.20600669,8.051532918,11.723793985408825,8.498621805830801,0.12992393212375042,0.2978676878051535,8.229511118964457,0.08539429458878267,0.19909522772360516,7.259116128097101,-0.1195465721125144,-0.331376803980365,6.289715570908998,-0.051440840877302385,-0.1225554720951292,0.010757659863316112,-1.2364195999999978
2014,Arges,79,96,175,152,25,55,80,70,413227,325569,602278,54.05626638,0.290563494,0.132829026,0.367836564,0.169398418,0.42339252,45159,4181,54877,12325,5962,16,122520,36.85847209,3.412504081,44.79023833,10.05958211,4.866144303,0.013059092,127911,11882,208202,22242,11044,40,2.832458646,2.841903851,3.793975618,1.804624746,1.852398524,2.5,243800,65500,26.86628384,4561,6181,1701,238,650,37.22657525,50.4489063,13.8834476,1.942539993,5.305256285,-0.380119778,0.041685217,-0.25115559,-0.14201422,-0.182901093,9.284967386,0.034008098,1039.483178,164.4188827,18.78934881,11.716029560946712,8.425516402844334,0.044157849355665135,0.10123767246741693,8.729397122692061,0.5593863967573043,1.3041990988296295,7.43955930913332,0.04175966535770215,0.11575559379900853,6.478509642208569,0.17428910949683996,0.4152359046068683,0.4841070674257308,-0.6863903899999997
2015,Arges,104,146,250,228,45,54,99,86,407635,323429,598137,54.07272916,0.417964446,0.165513921,0.559323905,0.210973052,0.583478367,47185,3979,53931,12171,6247,301,123814,38.10958373,3.213691505,43.55807905,9.830067682,5.045471433,0.243106595,125995,9733,161960,19133,9178,334,2.670234185,2.446091983,3.003096549,1.572015447,1.469185209,1.109634551,243500,57000,23.40862423,4732,6198,1710,241,667,38.21861825,50.05895941,13.81103914,1.946468089,5.387112927,-0.367944457,0.033971617,-0.257942876,-0.122990634,-0.178726588,9.598097315,0.313129929,854.813726,-184.6694519,-17.76550653,11.726535718460907,8.462314529906248,0.052698450177555145,0.12081812217902042,8.73214326770192,0.5487189232734853,1.279328080540599,7.444833273892193,0.02788632809743863,0.07729943332022414,6.504288173536645,0.13884428314248254,0.33079021217447996,0.45205896205358087,-3.4576596100000003
2016,Arges,149,218,367,319,58,65,123,107,401406,321295,593239,54.15945344,0.618637682,0.207336335,0.794706606,0.266563031,0.825974017,47474,2922,53489,12449,5933,757,123024,38.58921836,2.375146313,43.47850826,10.11916374,4.822636234,0.615327091,136318,8576,161367,17226,11120,675,2.871424359,2.934976044,3.016825889,1.3837256,1.874262599,0.891677675,244600,48800,19.95094031,4935,6086,2555,275,727,40.11412407,49.47002211,20.76830537,2.235336195,5.909416049,-0.344680957,0.022321756,0.394204065,-0.001606734,0.017559533,9.096265109,-0.501832206,963.9255215,109.1117955,12.76439442,11.720134737271962,8.504310565585223,0.05756900840277446,0.13198451695442207,8.713910628493924,0.4887143297761245,1.1394284740815435,7.846198815497425,0.3937374950690602,1.0914196067487754,6.590301048196686,0.24206500208284343,0.5767088970946602,0.7348853737198503,-3.457683920000001
2017,Arges,134,226,360,312,65,85,150,132,394954,318450,588218,54.13809166,0.612017993,0.255007497,0.789965414,0.334216137,0.867025491,44721,4035,56037,12653,5293,495,123234,36.28949803,3.274258727,45.47202882,10.26745866,4.295080903,0.401674862,188726,15221,304315,34204,13721,649,4.22007558,3.772242875,5.430608348,2.703232435,2.592291706,1.311111111,249700,49400,19.78374049,5191,6098,2575,279,735,42.12311537,49.4830972,20.89520749,2.263985588,5.964263109,-0.320024653,0.022580397,0.406099374,0.011139792,0.029948727,8.927038805,-0.169226305,898.8075429,-65.11797864,-6.755498966,11.721840266033704,8.554874258383926,0.0858282501950729,0.1967725423336124,8.715880102296456,0.4771474034212062,1.112460397961419,7.853993087224244,0.3902927929476947,1.0818710738258237,6.601230118728877,0.2476869810286857,0.5901030071454658,0.7453017553165802,-0.16719982000000044
